domain,clean_domain
"0829.ton","0829"
"0830.ton","0830"
"0831.ton","0831"
"0832.ton","0832"
"0833.ton","0833"
"0834.ton","0834"
"0835.ton","0835"
"0836.ton","0836"
"0837.ton","0837"
"0838.ton","0838"
"0839.ton","0839"
"0840.ton","0840"
"0841.ton","0841"
"0842.ton","0842"
"0843.ton","0843"
"0844.ton","0844"
"0845.ton","0845"
"0846.ton","0846"
"0847.ton","0847"
"0848.ton","0848"
"0849.ton","0849"
"0850.ton","0850"
"0851.ton","0851"
"0852.ton","0852"
"0853.ton","0853"
"0854.ton","0854"
"0855.ton","0855"
"0856.ton","0856"
"0857.ton","0857"
"0858.ton","0858"
"0859.ton","0859"
"0860.ton","0860"
"0861.ton","0861"
"0862.ton","0862"
"0863.ton","0863"
"0864.ton","0864"
"0865.ton","0865"
"0866.ton","0866"
"0867.ton","0867"
"0868.ton","0868"
"0869.ton","0869"
"0870.ton","0870"
"0871.ton","0871"
"0872.ton","0872"
"0873.ton","0873"
"0874.ton","0874"
"0875.ton","0875"
"0876.ton","0876"
"0877.ton","0877"
"0878.ton","0878"
"0879.ton","0879"
"0880.ton","0880"
"0881.ton","0881"
"0882.ton","0882"
"0883.ton","0883"
"0884.ton","0884"
"0885.ton","0885"
"0886.ton","0886"
"0887.ton","0887"
"0888.ton","0888"
"0889.ton","0889"
"0890.ton","0890"
"0891.ton","0891"
"0892.ton","0892"
"0893.ton","0893"
"0894.ton","0894"
"0895.ton","0895"
"0896.ton","0896"
"0897.ton","0897"
"0898.ton","0898"
"0899.ton","0899"
"0900.ton","0900"
"0901.ton","0901"
"0902.ton","0902"
"0903.ton","0903"
"0904.ton","0904"
"0905.ton","0905"
"0906.ton","0906"
"0907.ton","0907"
"0908.ton","0908"
"0909.ton","0909"
"0910.ton","0910"
"0911.ton","0911"
"0912.ton","0912"
"0913.ton","0913"
"0914.ton","0914"
"0915.ton","0915"
"0916.ton","0916"
"0917.ton","0917"
"0918.ton","0918"
"0919.ton","0919"
"0920.ton","0920"
"0921.ton","0921"
"0922.ton","0922"
"0923.ton","0923"
"0924.ton","0924"
"0925.ton","0925"
"0926.ton","0926"
"0927.ton","0927"
"0928.ton","0928"
"0929.ton","0929"
"0930.ton","0930"
"0931.ton","0931"
"0932.ton","0932"
"0933.ton","0933"
"0934.ton","0934"
"0935.ton","0935"
"0936.ton","0936"
"0937.ton","0937"
"0938.ton","0938"
"0939.ton","0939"
