domain,clean_domain
"1225.ton","1225"
"1717.ton","1717"
"3993.ton","3993"
"0056.ton","0056"
"4554.ton","4554"
"8824.ton","8824"
"0404.ton","0404"
"3456.ton","3456"
"1993.ton","1993"
"0123.ton","0123"
"3553.ton","3553"
"1999.ton","1999"
"8444.ton","8444"
"2013.ton","2013"
"0023.ton","0023"
"9229.ton","9229"
"0111.ton","0111"
"7333.ton","7333"
"6974.ton","6974"
"0009.ton","0009"
"5550.ton","5550"
"8024.ton","8024"
"8510.ton","8510"
"8882.ton","8882"
"1133.ton","1133"
"1333.ton","1333"
"8000.ton","8000"
"0521.ton","0521"
"4949.ton","4949"
"0130.ton","0130"
"4000.ton","4000"
"0077.ton","0077"
"3111.ton","3111"
"1997.ton","1997"
"2001.ton","2001"
"0017.ton","0017"
"3337.ton","3337"
"0003.ton","0003"
"6988.ton","6988"
"8859.ton","8859"
"8698.ton","8698"
"8883.ton","8883"
"8876.ton","8876"
"0082.ton","0082"
"7774.ton","7774"
"0666.ton","0666"
"8807.ton","8807"
"8008.ton","8008"
"0201.ton","0201"
"0029.ton","0029"
"2255.ton","2255"
"0303.ton","0303"
"2882.ton","2882"
"0990.ton","0990"
"2010.ton","2010"
"6900.ton","6900"
"2094.ton","2094"
"8894.ton","8894"
"7744.ton","7744"
"6600.ton","6600"
"8774.ton","8774"
"8531.ton","8531"
"0021.ton","0021"
"6966.ton","6966"
"7077.ton","7077"
"0551.ton","0551"
"8566.ton","8566"
"0222.ton","0222"
"6446.ton","6446"
"8040.ton","8040"
"6662.ton","6662"
"5599.ton","5599"
"1688.ton","1688"
"3000.ton","3000"
"8878.ton","8878"
"5201.ton","5201"
"8282.ton","8282"
"7997.ton","7997"
"1689.ton","1689"
"1377.ton","1377"
"8181.ton","8181"
"0969.ton","0969"
"1441.ton","1441"
"3030.ton","3030"
"8159.ton","8159"
"0035.ton","0035"
"6666.ton","6666"
"0095.ton","0095"
"8222.ton","8222"
"9696.ton","9696"
"6633.ton","6633"
"9900.ton","9900"
"0026.ton","0026"
"7654.ton","7654"
"8775.ton","8775"
"7177.ton","7177"
"0022.ton","0022"
"0101.ton","0101"
"4096.ton","4096"
"8800.ton","8800"
"0097.ton","0097"
"8855.ton","8855"
"9955.ton","9955"
"2058.ton","2058"
"3300.ton","3300"
"1222.ton","1222"
"1119.ton","1119"
"9555.ton","9555"
"8015.ton","8015"
"2555.ton","2555"
"9119.ton","9119"
"1122.ton","1122"
"4666.ton","4666"
"1919.ton","1919"
"1989.ton","1989"
"8980.ton","8980"
"0055.ton","0055"
"5200.ton","5200"
"1388.ton","1388"
"5150.ton","5150"
"1881.ton","1881"
"3137.ton","3137"
"1011.ton","1011"
"0075.ton","0075"
"0081.ton","0081"
"8322.ton","8322"
"7773.ton","7773"
"4400.ton","4400"
"5566.ton","5566"
"7575.ton","7575"
"8868.ton","8868"
"6767.ton","6767"
"2323.ton","2323"
"8826.ton","8826"
"0087.ton","0087"
"0678.ton","0678"
"0099.ton","0099"
"7788.ton","7788"
"6556.ton","6556"
"8852.ton","8852"
"8505.ton","8505"
"5055.ton","5055"
"1520.ton","1520"
"8009.ton","8009"
"0012.ton","0012"
"0999.ton","0999"
"6006.ton","6006"
"1355.ton","1355"
"0086.ton","0086"
"9111.ton","9111"
"1117.ton","1117"
"8806.ton","8806"
"5665.ton","5665"
"0311.ton","0311"
"8888.ton","8888"
"1986.ton","1986"
"8880.ton","8880"
"0031.ton","0031"
"8802.ton","8802"
"8228.ton","8228"
"7700.ton","7700"
"0096.ton","0096"
"5999.ton","5999"
"2048.ton","2048"
"3600.ton","3600"
"6009.ton","6009"
"0600.ton","0600"
"8999.ton","8999"
"3339.ton","3339"
"1992.ton","1992"
"8123.ton","8123"
"0220.ton","0220"
"1115.ton","1115"
"2221.ton","2221"
"2333.ton","2333"
"5115.ton","5115"
"2030.ton","2030"
"8538.ton","8538"
"7447.ton","7447"
"8420.ton","8420"
"7778.ton","7778"
"0505.ton","0505"
"1889.ton","1889"
"9997.ton","9997"
"8379.ton","8379"
"8822.ton","8822"
"0091.ton","0091"
"2500.ton","2500"
"4555.ton","4555"
"5558.ton","5558"
"5555.ton","5555"
"7799.ton","7799"
"3535.ton","3535"
"8585.ton","8585"
"0092.ton","0092"
"0936.ton","0936"
"0070.ton","0070"
"2077.ton","2077"
"8873.ton","8873"
"0200.ton","0200"
"2098.ton","2098"
"5088.ton","5088"
"6888.ton","6888"
"2050.ton","2050"
"8778.ton","8778"
"8990.ton","8990"
"7227.ton","7227"
"0898.ton","0898"
"1275.ton","1275"
"4848.ton","4848"
"6663.ton","6663"
"7779.ton","7779"
"0015.ton","0015"
"9000.ton","9000"
"3777.ton","3777"
"1112.ton","1112"
"1004.ton","1004"
"6686.ton","6686"
"8890.ton","8890"
"3210.ton","3210"
"0004.ton","0004"
"8889.ton","8889"
"8895.ton","8895"
"8808.ton","8808"
"0005.ton","0005"
"0046.ton","0046"
"1818.ton","1818"
"3303.ton","3303"
"8805.ton","8805"
"8872.ton","8872"
"0018.ton","0018"
"0369.ton","0369"
"0818.ton","0818"
"9449.ton","9449"
"2000.ton","2000"
"8090.ton","8090"
"6699.ton","6699"
"1555.ton","1555"
"3113.ton","3113"
"2288.ton","2288"
"0909.ton","0909"
"5252.ton","5252"
"2772.ton","2772"
"4455.ton","4455"
"8567.ton","8567"
"0202.ton","0202"
"2992.ton","2992"
"4774.ton","4774"
"1515.ton","1515"
"1998.ton","1998"
"0595.ton","0595"
"2225.ton","2225"
"9669.ton","9669"
"5533.ton","5533"
"0771.ton","0771"
"0020.ton","0020"
"1500.ton","1500"
"0040.ton","0040"
"2026.ton","2026"
"2277.ton","2277"
"6889.ton","6889"
"8558.ton","8558"
"9991.ton","9991"
"2626.ton","2626"
"8720.ton","8720"
"8338.ton","8338"
"1221.ton","1221"
"1188.ton","1188"
"4567.ton","4567"
"2015.ton","2015"
"6222.ton","6222"
"5511.ton","5511"
"5222.ton","5222"
"0065.ton","0065"
"1000.ton","1000"
